bedrooms,bathrooms,land_size_p,floor_area_sqft,storeys,district_enc,district_tier,colombo_premium,property_type_enc,negotiable,has_parking,has_pool,has_garden,has_furnished,has_ac,has_security,has_water,has_highway,has_generator,has_solar,log_price,price_lkr
5.0,4.0,7.75,3600.0,2.0,3,1,0,0,1,1,0,0,1,0,1,0,0,0,0,18.035018277846262,68000000.0
3.0,2.0,6.3,1200.0,2.0,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,16.88356353960952,21500000.0
4.0,3.0,10.0,2750.0,2.0,3,1,0,0,1,1,0,1,0,0,1,0,0,0,1,17.822843761378564,55000000.0
4.0,3.0,12.0,1890.0,2.0,12,3,0,0,1,0,0,1,0,0,0,0,0,0,0,17.19990085520835,29500000.0
3.0,2.0,18.5,1600.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17.11134746100564,27000000.0
6.0,4.0,14.5,4100.0,2.0,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,17.19990085520835,29500000.0
3.0,2.0,8.0,1250.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,16.733281344102608,18500000.0
5.0,5.0,6.2,3800.0,2.0,3,1,1,0,1,1,0,0,1,1,0,0,0,0,0,18.132998684833918,75000000.0
4.0,4.0,8.5,4022.0,2.0,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,17.95067713070663,62500000.0
4.0,2.0,6.0,2300.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17.05418904934434,25500000.0
3.0,1.0,7.0,2200.0,2.0,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,17.05418904934434,25500000.0
4.0,2.0,80.0,1500.0,2.0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,16.51013780630191,14800000.0
3.0,2.0,10.0,2725.0,2.0,12,3,0,0,1,0,0,1,0,0,0,0,1,0,0,17.370858648025116,35000000.0
5.0,3.0,16.5,3200.0,2.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17.665658180950928,47000000.0
3.0,1.0,15.0,4500.0,1.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17.216707972959764,30000000.0
3.0,2.0,6.7,1300.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,16.630919337267223,16700000.0
5.0,2.0,9.5,3000.0,2.0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,17.341871111992198,34000000.0
4.0,3.0,10.0,3200.0,2.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17.341871111992198,34000000.0
5.0,5.0,0.0,2000.0,2.0,3,1,0,0,1,1,1,0,0,1,1,0,1,0,0,17.281246492014,32000000.0
4.0,3.0,10.0,3500.0,2.0,3,1,0,0,1,1,0,0,0,0,1,0,1,0,1,17.599700214609808,44000000.0
